id,title,state,created_at,updated_at
4342311639,subPath for Image as Volume not working,open,2026-04-28T10:16:07Z,2026-04-28T13:00:49Z
4341328376,[Flaking issue] POD Resources API base pod expectation mismatch without SRIOV devices in the system with CPU manager Static policy with reserved system CPUs,open,2026-04-28T07:24:03Z,2026-04-28T07:25:08Z
4341136061,Kubelet starts pods before CNI is configured,open,2026-04-28T06:43:31Z,2026-04-28T14:47:05Z
4340339127,storage: DetectCacheInconsistency checker fails on large API collections,open,2026-04-28T03:15:51Z,2026-04-28T10:23:36Z
4337258743,CoreDNS restart loop / FailedCreatePodSandBox due to flannel subnet.env race condition,closed,2026-04-27T16:25:17Z,2026-04-28T07:39:52Z
4334820100,[Flaking tests] k8s.io/kubernetes/test/integration/auth - TestConstrainedImpersonation,open,2026-04-27T09:58:22Z,2026-04-27T11:52:37Z
4332894561,[Flaking Test] integration/apiserver: admissionwebhook,open,2026-04-27T03:28:13Z,2026-04-27T03:29:03Z
4332846033,"[Flaking Issue] DevicePlugin Does not keep device plugin assignments across node reboots if fails admission (no pod restart, no device plugin re-registration)",open,2026-04-27T03:11:02Z,2026-04-27T07:58:48Z
4330295763,docs: add CLAUDE.md and AGENTS.md for AI assistant codebase orientation,closed,2026-04-26T07:17:23Z,2026-04-26T07:40:46Z
4328948843,Server certificate for pkgs.k8s.io is expired at Apr 25 2026,closed,2026-04-25T18:48:34Z,2026-04-25T19:33:08Z
4327222963,scheduler-perf improvement for WAS,open,2026-04-25T05:46:45Z,2026-04-28T12:28:30Z
4322934447,Promote Workload API to v1alpha3 and remove v1alpha2,open,2026-04-24T12:35:46Z,2026-04-25T05:03:54Z
4322554246,Feature Request: Add parallelism / max concurrent jobs support to CronJob,open,2026-04-24T11:21:14Z,2026-04-24T11:40:12Z
4319156490,Watchlist does not make progress in a high load environment,open,2026-04-23T22:04:17Z,2026-04-27T07:11:36Z
4318527729,kubelet does not start when kubelet folder is on ZFS filesystem because of missing cadvisor plugin in 1.36.0,closed,2026-04-23T20:00:17Z,2026-04-27T18:04:05Z
4317694875,Established Watch with VeryShortWatch error forces a relist.,open,2026-04-23T17:29:11Z,2026-04-23T17:34:48Z
4317105785,Tracking TODO items when we cut new releases,open,2026-04-23T15:34:25Z,2026-04-27T03:40:24Z
4315837722,Pods with required anti-affinity configured are scheduled to the same node.,open,2026-04-23T12:16:05Z,2026-04-24T01:17:06Z
4315173247,kubeadm init Unable to connect GET https://172.20.10.4:6443/healthz,closed,2026-04-23T10:08:55Z,2026-04-23T20:21:00Z
4313785585,[pkgs.k8s.io] `cri-tools` and `kubernetes-cni` packages are missing in v1.36 repo,closed,2026-04-23T05:41:19Z,2026-04-24T19:15:22Z
4312756646,new DNS test failing on ipv6,closed,2026-04-23T01:19:43Z,2026-04-23T18:38:48Z
4311919862,KEP-5304: DecodeMetadataFromStream silently skips malformed metadata for registered API versions,open,2026-04-22T21:18:49Z,2026-04-22T21:19:35Z
4311029215,"[SIG Node][Failing Test] ""Ensure Credential Pulled Images pulling images with credentials [FeatureGate:KubeletEnsureSecretPulledImages] ...""",open,2026-04-22T18:22:47Z,2026-04-28T13:11:59Z
4310398514,"""containerStatus.user.linux.uid rejects valid Linux UIDs > INT32_MAX""",open,2026-04-22T16:25:13Z,2026-04-28T02:40:15Z
4310090609,NUMA locality of both CPU and memory cannot be fully achieved,open,2026-04-22T15:30:33Z,2026-04-24T12:19:33Z
4309151414,`kubectl diff` on Windows: Specifying a path with spaces to diff.exe via `KUBECTL_EXTERNAL_DIFF` fails,closed,2026-04-22T12:57:32Z,2026-04-23T08:19:14Z
4308790023,Error kubectl copying many small files to PV (NFS and longhorn),open,2026-04-22T11:53:10Z,2026-04-27T18:09:33Z
4308496024,Reuse the framework introduced in TAS integration tests to build integration tests for WAS,open,2026-04-22T10:58:53Z,2026-04-22T11:02:35Z
4307157056,"Kubelet regression in 1.32, 1.31 and possibly 1.33 and 1.34 where pods get stuck in RunContainerError on OS with cgroupv1",open,2026-04-22T06:32:06Z,2026-04-28T06:58:17Z
4303288008,HPA tolerance check causes unexpected scale-up during rolling updates,open,2026-04-21T14:29:42Z,2026-04-21T14:32:35Z
4300963802,Memory Manager static policy rejects TopologyManager best-effort cross-NUMA hints causing UnexpectedAdmissionError,open,2026-04-21T07:18:38Z,2026-04-21T11:35:21Z
4300869265,apiserver: consistent read fallback to etcd can overload apiserver and etcd when watch cache is behind,open,2026-04-21T06:57:47Z,2026-04-28T08:12:07Z
4299667193,Failure cluster [998d43be...] [sig-node] MemoryQoS [Serial] feature rollback should reset memory protection to 0 when MemoryQoS is disabled,closed,2026-04-21T01:21:55Z,2026-04-21T01:55:36Z
4297067026,[Failing Test] ci-kubernetes-e2e-gce-scale-performance-100 PreTestCmd,closed,2026-04-20T16:09:48Z,2026-04-21T10:41:21Z
4294577029,APF: make list max seat cap configurable or scalable for large clusters,open,2026-04-20T09:24:17Z,2026-04-22T11:34:48Z
4292859370,PodLevelResources: Why is pod created when resource requests exceed limits? (K8s 1.34.5),open,2026-04-20T03:10:35Z,2026-04-23T20:17:22Z
4292645469,[Failing Test] feature rollback should reset memory protection to 0 when MemoryQoS is disabled,closed,2026-04-20T01:52:26Z,2026-04-21T02:11:53Z
4291044162,API Server sending webhook requests to non-ready Pods,open,2026-04-19T14:01:52Z,2026-04-19T14:06:33Z
4289903547,[Failing Test] [sig-auth] TestNodeAuthorization failing in pull-kubernetes-integration with pod not found,closed,2026-04-19T04:21:29Z,2026-04-28T10:38:17Z
4288965915,Add support for built-in small object RWX Storage class,closed,2026-04-18T19:27:26Z,2026-04-18T19:58:56Z
4288519572,Allow to unmarshal into applyconfig from client-go result,open,2026-04-18T16:14:43Z,2026-04-27T09:59:21Z
4288179214,"Fix UI issue: ""Watch Video"" button breaks layout",closed,2026-04-18T13:53:17Z,2026-04-18T14:04:33Z
4283794233,Add upgrade/downgrade scenario tests left out from beta,open,2026-04-17T15:50:42Z,2026-04-21T07:58:13Z
4283465377,Kubelet restart triggers UnexpectedAdmissionError for pods using device plugins in both initContainers and containers,open,2026-04-17T14:53:05Z,2026-04-22T16:44:16Z
